ticker,sector,fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,gross_margin,ebitda_margin,ebit_margin,net_margin,roe,roa,asset_turnover,working_capital,current_ratio,debt_to_equity,interest_coverage,fcf,fcf_margin,cfo_to_net_income
NVDA,Technology,2021,26914.0,9439.0,17475.0,11215.0,10041.0,1174.0,236.0,189.0,9752.0,3.85,1990.0,28829.0,44187.0,4335.0,10946.0,0.0,10946.0,26612.0,9108.0,976.0,1865.0,-9830.0,0.6492903321691313,0.4166976294865126,0.3730772088875678,0.3623393029649996,0.3664512250112731,0.22069839545567702,0.6090931721999683,24494.0,6.650288350634371,0.41131820231474525,42.54661016949152,8132.0,0.3021475811845136,0.9339622641509434
NVDA,Technology,2022,26974.0,11618.0,15356.0,5768.0,4224.0,1544.0,262.0,-187.0,4368.0,0.17,3389.0,23073.0,41182.0,6563.0,10953.0,1250.0,9703.0,22101.0,5641.0,1833.0,-11617.0,7375.0,0.5692889449099132,0.213835545339957,0.1565952398606065,0.16193371394676356,0.19763811592235644,0.10606575688407557,0.6549949006847652,16510.0,3.515617857687033,0.4955884349124474,16.12213740458015,3808.0,0.14117298138948617,1.291437728937729
NVDA,Technology,2023,60922.0,16621.0,44301.0,34480.0,32972.0,1508.0,257.0,4058.0,29760.0,1.19,7280.0,44345.0,65728.0,10631.0,9709.0,1250.0,8459.0,42978.0,28090.0,1069.0,-13633.0,-10566.0,0.7271757329043695,0.5659696004727356,0.5412166376678376,0.4884934834706674,0.6924472986178976,0.4527750730282376,0.9268804771178188,33714.0,4.171291505973097,0.22590627763041557,128.295719844358,27021.0,0.4435343554052723,0.9438844086021505
NVDA,Technology,2024,130497.0,32639.0,97858.0,83317.0,81453.0,1864.0,247.0,11146.0,72880.0,2.94,8589.0,80126.0,111601.0,18047.0,8463.0,0.0,8463.0,79327.0,64089.0,3236.0,-42359.0,-20421.0,0.7498869705816992,0.6384591216656321,0.6241752683969747,0.5584802715771244,0.9187288060811577,0.6530407433625147,1.169317479234057,62079.0,4.439851498864077,0.10668498745698186,329.7692307692308,60853.0,0.46631723334636044,0.8793770581778265
NVDA,Technology,2025,215938.0,62475.0,153463.0,133230.0,130387.0,2843.0,259.0,21383.0,120067.0,4.9,10605.0,125605.0,206803.0,32163.0,8468.0,999.0,7469.0,157293.0,102718.0,6042.0,-48474.0,-52228.0,0.7106808435754708,0.6169826524280118,0.6038168363141272,0.5560253406070261,0.7633333969089534,0.5805863551302447,1.0441724733200195,93442.0,3.905263812455306,0.05383583503398117,503.42471042471044,96676.0,0.44770258129648327,0.855505675997568
META,Communication Services,2016,27638.0,3789.0,23849.0,14769.0,12427.0,2342.0,10.0,2301.0,10217.0,3.49,8903.0,34401.0,64961.0,2875.0,,,,59194.0,16108.0,4491.0,-310.0,-11792.0,0.8629061437151747,0.5343729647586656,0.4496345611115131,0.36967219046240685,0.17260195290063182,0.15727898277427996,0.42545527316389836,31526.0,11.965565217391305,,1242.7,11617.0,0.4203270858962298,1.5765880395419398
META,Communication Services,2017,40653.0,5454.0,35199.0,23228.0,20203.0,3025.0,6.0,4660.0,15934.0,5.39,8079.0,48563.0,84524.0,3760.0,,,,74347.0,24216.0,6733.0,-5235.0,-20118.0,0.8658401593978304,0.5713723464442969,0.4969620938184144,0.39195139350109465,0.21431934039033182,0.18851450475604561,0.4809639865600303,44803.0,12.915691489361702,,3367.1666666666665,17483.0,0.43005436253167045,1.519769047320196
META,Communication Services,2018,55838.0,9355.0,46483.0,29228.0,24913.0,4315.0,9.0,3249.0,22112.0,7.57,10019.0,50480.0,97334.0,7017.0,,,,84127.0,29274.0,13915.0,-15572.0,-11603.0,0.8324617643898421,0.5234428167197965,0.4461656936136681,0.39600272216053584,0.2628407051243953,0.2271765261881768,0.5736741529167608,43463.0,7.193957531708707,,2768.1111111111113,15359.0,0.2750635767756725,1.3238965267727931
META,Communication Services,2019,70697.0,12770.0,57927.0,29727.0,23986.0,5741.0,20.0,6327.0,18485.0,6.43,19079.0,66225.0,133376.0,15053.0,,,,101054.0,36314.0,15102.0,-7299.0,-19864.0,0.8193699874110641,0.42048460330707105,0.3392788944368219,0.2614679547929898,0.18292200209788825,0.13859315019193857,0.5300578814779271,51172.0,4.399455258088088,,1199.3,21212.0,0.30004102012815254,1.9645117662969975
META,Communication Services,2020,85965.0,16692.0,69273.0,39533.0,32671.0,6862.0,,4034.0,29146.0,10.09,17576.0,75670.0,159316.0,14981.0,,,,128290.0,38747.0,15163.0,-10292.0,-30059.0,0.8058279532367824,0.45987320421101613,0.3800500203571221,0.3390449601582039,0.22718840127835374,0.18294458811418815,0.539587988651485,60689.0,5.051064681930446,,,23584.0,0.2743442098528471,1.3294105537638097
